timestamp,open,high,low,close,ticker
2019-06-17,48.37,48.40,48.11,48.17,BBL
2019-06-14,48.19,48.39,48.08,48.17,BBL
2019-06-13,48.82,49.04,48.64,48.93,BBL
2019-06-12,48.32,48.74,48.19,48.22,BBL
2019-06-11,48.36,48.46,48.12,48.35,BBL
2019-06-10,47.02,47.18,46.67,46.80,BBL
2019-06-07,46.28,46.96,46.20,46.47,BBL
2019-06-06,45.75,46.06,45.70,45.93,BBL
2019-06-05,46.12,46.17,45.41,45.50,BBL
2019-06-04,45.77,46.12,45.50,46.09,BBL
2019-06-03,45.14,45.68,45.06,45.52,BBL
2019-05-31,44.74,45.25,44.73,45.11,BBL
2019-05-30,45.89,45.90,45.56,45.62,BBL
2019-05-29,45.42,45.71,45.30,45.66,BBL
2019-05-28,46.63,46.90,46.30,46.31,BBL
2019-05-24,45.66,45.98,45.46,45.86,BBL
2019-05-23,44.57,44.83,44.32,44.69,BBL
2019-05-22,45.44,45.59,45.18,45.18,BBL
2019-05-21,45.56,45.85,45.37,45.78,BBL
2019-05-20,45.41,45.81,45.32,45.67,BBL
2019-05-17,45.69,45.96,45.56,45.70,BBL
2019-05-16,45.91,46.07,45.52,45.78,BBL
2019-05-15,44.50,45.29,44.50,45.18,BBL
2019-05-14,45.25,45.37,44.93,45.13,BBL
2019-05-13,44.95,45.14,44.36,44.60,BBL
2019-05-10,45.45,46.20,45.27,46.00,BBL
2019-05-09,45.11,45.68,45.00,45.55,BBL
2019-05-08,45.56,46.06,45.50,45.86,BBL
2019-05-07,46.30,46.30,45.72,46.13,BBL
2019-05-06,45.40,46.26,45.36,46.20,BBL
2019-05-03,46.56,47.08,46.50,47.00,BBL
2019-05-02,46.01,46.21,45.82,45.97,BBL
2019-05-01,47.31,47.33,46.19,46.26,BBL
2019-04-30,47.29,47.33,47.07,47.13,BBL
2019-04-29,47.35,47.49,47.23,47.40,BBL
2019-04-26,47.25,47.50,47.15,47.38,BBL
2019-04-25,47.20,47.52,46.98,47.32,BBL
2019-04-24,47.87,47.88,47.34,47.41,BBL
2019-04-23,48.08,48.71,48.06,48.47,BBL
