timestamp,open,high,low,close,ticker
2019-06-17,207.25,208.00,205.25,206.37,NEE
2019-06-14,205.66,207.33,204.95,206.96,NEE
2019-06-13,204.60,205.50,203.25,204.77,NEE
2019-06-12,203.33,205.31,202.79,204.55,NEE
2019-06-11,203.20,203.81,200.76,201.97,NEE
2019-06-10,204.10,204.69,201.48,203.42,NEE
2019-06-07,206.90,208.47,204.39,204.39,NEE
2019-06-06,205.00,206.41,203.89,205.76,NEE
2019-06-05,200.50,204.85,200.03,204.65,NEE
2019-06-04,200.14,200.31,196.37,199.38,NEE
2019-06-03,198.93,199.66,197.31,199.58,NEE
2019-05-31,198.29,199.39,196.61,198.21,NEE
2019-05-30,199.11,200.05,198.46,198.94,NEE
2019-05-29,201.71,202.28,198.47,198.72,NEE
2019-05-28,203.77,204.09,200.93,201.17,NEE
2019-05-24,203.72,204.73,203.11,203.37,NEE
2019-05-23,202.26,203.79,202.26,203.53,NEE
2019-05-22,199.49,202.35,198.62,201.93,NEE
2019-05-21,199.50,200.99,198.79,198.90,NEE
2019-05-20,199.28,200.61,198.94,199.35,NEE
2019-05-17,195.83,199.46,195.62,198.98,NEE
2019-05-16,194.49,197.92,193.82,197.11,NEE
2019-05-15,195.21,196.13,194.47,194.86,NEE
2019-05-14,194.92,196.71,193.51,194.90,NEE
2019-05-13,191.42,195.41,191.08,194.93,NEE
2019-05-10,188.56,192.20,188.08,191.76,NEE
2019-05-09,188.45,189.21,187.48,188.61,NEE
2019-05-08,189.60,190.01,187.30,187.88,NEE
2019-05-07,189.81,190.76,188.86,189.75,NEE
2019-05-06,192.20,193.33,190.84,190.90,NEE
2019-05-03,191.57,192.63,190.81,192.41,NEE
2019-05-02,192.84,193.87,190.56,191.72,NEE
2019-05-01,193.51,195.04,192.93,193.27,NEE
2019-04-30,191.76,194.65,191.26,194.44,NEE
2019-04-29,192.03,192.90,190.61,191.77,NEE
2019-04-26,191.40,193.39,191.29,191.71,NEE
2019-04-25,189.43,191.72,189.26,190.48,NEE
2019-04-24,189.76,191.10,189.15,190.06,NEE
2019-04-23,190.86,191.47,188.08,189.79,NEE
2019-04-22,189.17,190.83,189.05,190.38,NEE
2019-04-18,189.42,190.68,189.24,189.36,NEE
2019-04-17,189.75,190.55,189.04,189.65,NEE
2019-04-16,191.06,192.31,189.42,189.52,NEE
2019-04-15,191.11,192.07,190.68,191.16,NEE
2019-04-12,189.37,191.05,188.45,190.85,NEE
2019-04-11,188.62,190.18,188.40,190.04,NEE
2019-04-10,189.75,191.42,188.40,188.62,NEE
2019-04-09,188.64,189.94,188.53,189.71,NEE
2019-04-08,189.44,189.82,187.83,188.64,NEE
2019-04-05,189.38,190.34,188.00,190.08,NEE
2019-04-04,189.98,190.04,187.43,188.40,NEE
2019-04-03,189.11,190.28,187.89,189.31,NEE
2019-04-02,190.71,191.00,188.71,189.48,NEE
2019-04-01,193.42,193.75,190.21,190.49,NEE
2019-03-29,191.93,193.47,191.30,193.32,NEE
2019-03-28,193.91,194.39,191.32,191.92,NEE
2019-03-27,195.25,195.30,192.87,193.92,NEE
2019-03-26,193.82,195.33,193.02,195.00,NEE
2019-03-25,194.45,195.10,193.55,193.61,NEE
2019-03-22,192.25,195.55,192.25,193.93,NEE
2019-03-21,190.29,192.28,189.85,191.91,NEE
2019-03-20,189.04,191.17,187.84,189.87,NEE
2019-03-19,190.53,190.61,187.79,188.50,NEE
2019-03-18,191.47,191.98,190.13,190.87,NEE
2019-03-15,190.76,191.94,190.01,191.24,NEE
2019-03-14,191.16,192.17,190.21,190.98,NEE
2019-03-13,189.87,191.52,189.46,190.97,NEE
2019-03-12,190.00,191.36,189.43,190.89,NEE
2019-03-11,188.61,189.78,188.46,189.50,NEE
2019-03-08,188.61,189.43,186.92,188.70,NEE
2019-03-07,188.26,189.13,187.38,187.93,NEE
2019-03-06,188.06,188.97,186.98,187.57,NEE
2019-03-05,188.37,189.21,188.02,188.32,NEE
2019-03-04,188.23,188.55,186.57,188.24,NEE
2019-03-01,187.52,188.58,186.59,187.56,NEE
2019-02-28,187.01,188.74,186.06,187.72,NEE
2019-02-27,186.58,187.49,186.08,186.81,NEE
2019-02-26,188.18,189.02,187.15,188.23,NEE
2019-02-25,188.45,189.39,186.31,187.88,NEE
2019-02-22,186.83,188.14,185.76,188.13,NEE
2019-02-21,184.89,186.87,184.56,186.56,NEE
2019-02-20,185.08,186.10,184.04,185.64,NEE
2019-02-19,184.13,185.81,183.40,185.37,NEE
2019-02-15,184.61,185.11,183.30,184.04,NEE
2019-02-14,183.36,184.44,182.54,182.61,NEE
2019-02-13,183.06,183.86,182.43,182.85,NEE
2019-02-12,183.00,184.41,181.68,183.27,NEE
2019-02-11,182.42,183.93,182.32,183.01,NEE
2019-02-08,181.21,183.37,181.02,183.01,NEE
2019-02-07,178.00,181.45,177.88,181.35,NEE
2019-02-06,178.73,179.24,177.60,178.10,NEE
2019-02-05,177.57,178.70,176.77,178.17,NEE
2019-02-04,177.11,178.19,176.13,178.10,NEE
2019-02-01,178.37,179.12,176.50,177.82,NEE
2019-01-31,173.44,179.29,173.35,178.98,NEE
2019-01-30,172.24,174.63,172.10,173.59,NEE
2019-01-29,173.08,173.43,171.74,172.86,NEE
2019-01-28,176.11,176.11,171.77,172.47,NEE
2019-01-25,178.50,179.49,173.92,174.20,NEE
2019-01-24,179.26,180.88,177.96,180.28,NEE
2019-01-23,177.94,179.46,176.19,179.38,NEE
2019-01-22,175.43,177.95,175.24,177.38,NEE
2019-01-18,176.40,176.61,175.11,176.09,NEE
2019-01-17,175.13,175.92,174.44,175.49,NEE
