timestamp,open,high,low,close,ticker
2019-06-17,58.16,58.33,57.24,57.63,VZ
2019-06-14,57.68,58.56,57.52,58.28,VZ
2019-06-13,57.50,57.74,57.37,57.62,VZ
2019-06-12,57.00,57.57,57.00,57.36,VZ
2019-06-11,56.50,57.40,56.18,56.83,VZ
2019-06-10,57.37,57.37,55.95,56.15,VZ
2019-06-07,58.00,58.14,57.15,57.24,VZ
2019-06-06,57.01,57.82,57.01,57.54,VZ
2019-06-05,56.52,57.38,56.50,57.03,VZ
2019-06-04,56.60,56.98,55.93,56.22,VZ
2019-06-03,54.68,56.49,54.56,56.38,VZ
2019-05-31,55.09,55.44,54.26,54.35,VZ
2019-05-30,57.62,57.62,56.56,56.83,VZ
2019-05-29,58.67,58.93,57.91,58.18,VZ
2019-05-28,59.21,59.87,58.66,58.73,VZ
2019-05-24,59.07,59.36,58.67,59.32,VZ
2019-05-23,59.00,59.28,58.54,58.87,VZ
2019-05-22,59.09,59.37,58.96,59.25,VZ
2019-05-21,59.10,59.63,58.76,59.50,VZ
2019-05-20,59.15,60.54,58.00,59.01,VZ
2019-05-17,57.06,58.48,57.01,58.09,VZ
2019-05-16,57.00,57.80,56.82,57.38,VZ
2019-05-15,56.51,56.84,56.17,56.81,VZ
2019-05-14,56.76,57.19,56.50,56.55,VZ
2019-05-13,56.72,57.34,56.66,56.75,VZ
2019-05-10,56.49,57.04,56.26,56.91,VZ
2019-05-09,56.12,56.56,55.93,56.48,VZ
2019-05-08,56.66,56.70,56.25,56.38,VZ
2019-05-07,56.69,56.82,56.33,56.63,VZ
2019-05-06,56.83,57.09,56.74,56.91,VZ
2019-05-03,57.15,57.36,56.87,57.24,VZ
2019-05-02,56.81,58.23,56.68,56.99,VZ
2019-05-01,57.23,57.30,56.52,56.52,VZ
2019-04-30,56.99,57.45,56.76,57.19,VZ
2019-04-29,56.75,57.17,56.71,56.84,VZ
2019-04-26,56.06,56.82,55.83,56.58,VZ
2019-04-25,56.82,56.90,55.75,55.85,VZ
2019-04-24,57.34,57.57,56.73,57.08,VZ
2019-04-23,57.62,57.72,56.30,57.15,VZ
2019-04-22,58.14,58.49,57.89,58.37,VZ
2019-04-18,57.51,58.20,57.28,58.04,VZ
2019-04-17,58.40,58.46,57.64,57.78,VZ
2019-04-16,58.79,58.98,58.66,58.79,VZ
2019-04-15,58.91,58.95,58.59,58.71,VZ
2019-04-12,58.75,58.79,58.52,58.74,VZ
2019-04-11,58.65,58.73,58.20,58.56,VZ
2019-04-10,58.40,58.70,58.36,58.61,VZ
2019-04-09,58.37,58.56,58.04,58.40,VZ
2019-04-08,59.02,59.13,58.72,59.13,VZ
2019-04-05,59.02,59.10,58.82,59.09,VZ
2019-04-04,58.84,59.10,58.77,58.99,VZ
2019-04-03,58.78,59.07,58.41,58.87,VZ
2019-04-02,59.22,59.23,58.34,58.53,VZ
2019-04-01,59.39,59.41,58.79,59.09,VZ
2019-03-29,59.20,59.27,58.32,59.13,VZ
2019-03-28,60.88,60.89,58.44,59.08,VZ
2019-03-27,60.56,61.19,60.48,60.88,VZ
2019-03-26,60.30,60.69,60.18,60.63,VZ
2019-03-25,59.63,60.19,59.53,60.08,VZ
2019-03-22,58.16,60.00,58.13,59.76,VZ
2019-03-21,57.58,58.49,57.57,58.29,VZ
2019-03-20,57.51,58.06,57.11,57.67,VZ
2019-03-19,58.10,58.20,57.31,57.50,VZ
2019-03-18,58.27,58.32,57.56,58.07,VZ
2019-03-15,58.04,58.51,57.93,58.39,VZ
2019-03-14,57.71,58.09,57.51,57.95,VZ
2019-03-13,57.37,57.74,57.34,57.66,VZ
