rating out of 5,date,agency,ticker
1,2019-06-05,Morningstar ,CCI
3,2019-06-09,CFRA,CCI
3,2019-06-06,Reuters,CCI
2,2019-06-11,Morningstar ,BBL
3,2019-06-09,CFRA,BBL
4,2019-01-27,Reuters,BBL
2,2018-06-27,Morningstar ,NEE
4,2019-06-15,CFRA,NEE
4,2019-06-04,Reuters,NEE
3,2019-06-10,Morningstar ,BA
4,2019-06-09,CFRA,BA
4,2019-06-10,Reuters,BA
1,2019-04-15,Market Edge,BA
2,2019-02-20,Morningstar ,WMT
3,2019-02-26,Credit Suisse,WMT
5,2019-06-13,CFRA,WMT
3,2019-05-29,Morningstar ,JNJ
5,2019-04-18,Argus,JNJ
4,2019-05-28,Reuters,JNJ
3,2019-01-04,Morningstar ,JPM
3,2019-06-17,Ned Davis,JPM
4,2019-06-09,CFRA,JPM
5,2019-04-30,Argus,XOM
3,2019-06-09,CFRA,XOM
3,2019-06-10,Reuters,XOM
4,2019-05-13,Morningstar ,AMZN
4,2019-06-09,CFRA,AMZN
4,2019-05-29,Reuters,AMZN
4,2019-05-13,Morningstar ,MSFT
3,2019-06-09,CFRA,MSFT
5,2019-04-29,Argus,MSFT
5,2019-05-28,Ned Davis,VZ
2,2019-06-09,CFRA,VZ
4,2019-06-06,Reuters,VZ
