ticker name,company name,sector,,
CCI,Crown Castle International Corporation,Real Estate,,
BBL,BHP Group,Materials,,
NEE,NextEra Energy Incorporated,Utilities,,
BA,The Boeing Company,Industrials,,
WMT,Walmart Incorporated,Consumer Staples,,
JNJ,Johnson & Johnson,Health care,,
JPM,JPMorgan Chase & Company,Financials,,
XOM,Exxon Mobil Corporation,Energy,,
AMZN,"Amazon.com, Incorporated",Consumer Discretionary,,
MSFT,Microsoft Corporation,Information Technology,,
VZ,Verizon Communications Incorporated,Communication Services,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
