Sector Name,Week Performance,1 Month Performance,3 Month Performance,1 Year Performance,3 Year Performance
Communication Services,0.01,0.01,0.01,0.12,-0.06
Real Estate,0.01,0.04,0.05,0.20,-0.06
Energy,0.00,-0.04,-0.08,-0.20,-0.10
Health Care,0.00,0.04,-0.01,0.07,0.28
Information Technology,0.00,0.04,0.05,0.06,0.86
Consumer Discretionary,0.02,0.04,0.07,0.06,0.51
Utilities,0.01,0.03,0.04,0.24,0.20
Industrials,0.00,0.02,0.01,0.00,0.31
Consumer Staples,0.01,0.03,0.07,0.15,0.10
Financials,0.00,0.02,0.03,-0.02,0.46
Materials,0.01,0.07,0.03,-0.04,0.22
